,City1,City2,Month,Passenger Count,Flight Count,Average Capacity (%),Flight Distance (km),Actual Passenger Distance (km),Potential Passenger Distance (km),Seats,Plane Size (seats)
0,ADELAIDE,ALICE SPRINGS,1984-01-01,15743,143,81.8,1316,20717788,25327369,19246,134.5874125874126
1,ADELAIDE,BRISBANE,1984-01-01,3781,32,89.8,1622,6132782,6829379,4210,131.5625
2,ADELAIDE,CANBERRA,1984-01-01,1339,12,94.7,972,1301508,1374348,1414,117.83333333333333
3,ADELAIDE,DARWIN,1984-01-01,3050,33,66.8,2619,7987950,11958009,4566,138.36363636363637
4,ADELAIDE,GOLD COAST,1984-01-01,1596,16,88.5,1607,2564772,2898047,1803,112.6875
5,ADELAIDE,MELBOURNE,1984-01-01,50817,711,66.3,643,32675331,49284059,76647,107.80168776371308
6,ADELAIDE,PERTH,1984-01-01,18670,144,85.1,2120,39580400,46510458,21939,152.35416666666666
7,ADELAIDE,SYDNEY,1984-01-01,37401,358,80.8,1167,43646967,54018524,46288,129.29608938547486
8,ALBURY,SYDNEY,1984-01-01,11478,296,79.8,452,5188056,6501323,14383,48.59121621621622
9,ALICE SPRINGS,DARWIN,1984-01-01,9035,89,71.2,1305,11790675,16559937,12690,142.58426966292134
10,ALICE SPRINGS,SYDNEY,1984-01-01,2896,31,75.8,2022,5855712,7725214,3821,123.25806451612904
11,BRISBANE,CAIRNS,1984-01-01,1397,31,71.9,1391,1943227,2702680,1943,62.67741935483871
12,BRISBANE,CANBERRA,1984-01-01,593,8,72.7,956,566908,779791,816,102.0
13,BRISBANE,DARWIN,1984-01-01,2627,22,80.7,2852,7492204,9284020,3255,147.95454545454547
14,BRISBANE,MACKAY,1984-01-01,192,15,48.2,797,153024,317477,398,26.533333333333335
15,BRISBANE,MELBOURNE,1984-01-01,31791,324,84.4,1381,43903371,52018212,37667,116.25617283950618
16,BRISBANE,PERTH,1984-01-01,566,4,88.2,3615,2046090,2319830,642,160.5
17,BRISBANE,PROSERPINE,1984-01-01,7432,92,76.1,895,6651640,8740657,9766,106.15217391304348
18,BRISBANE,ROCKHAMPTON,1984-01-01,21633,287,77.2,518,11205894,14515407,28022,97.63763066202091
19,BRISBANE,SYDNEY,1984-01-01,95027,990,73.7,753,71555331,97090001,128938,130.24040404040403
20,BRISBANE,TOWNSVILLE,1984-01-01,35580,376,82.0,1112,39564960,48249951,43390,115.39893617021276
21,BROOME,PERTH,1984-01-01,573,12,72.5,1677,960921,1325408,790,65.83333333333333
22,CANBERRA,MELBOURNE,1984-01-01,21763,323,60.5,470,10228610,16906793,35972,111.36842105263158
23,CANBERRA,SYDNEY,1984-01-01,32529,562,56.4,236,7676844,13611426,57676,102.62633451957295
24,COFFS HARBOUR,SYDNEY,1984-01-01,6731,166,79.8,443,2981833,3736633,8435,50.81325301204819
25,DARWIN,SYDNEY,1984-01-01,779,9,56.4,3155,2457745,4357704,1381,153.44444444444446
26,DEVONPORT,MELBOURNE,1984-01-01,13300,380,72.5,412,5479600,7558069,18345,48.276315789473685
27,DUBBO,SYDNEY,1984-01-01,4708,136,64.1,310,1459480,2276880,7345,54.00735294117647
28,GOLD COAST,SYDNEY,1984-01-01,42814,454,81.9,680,29113520,35547643,52276,115.1453744493392
29,HOBART,MELBOURNE,1984-01-01,35293,440,76.1,618,21811074,28661070,46377,105.40227272727273
30,KALGOORLIE,PERTH,1984-01-01,3551,110,51.4,538,1910438,3716805,6909,62.80909090909091
31,KARRATHA,PERTH,1984-01-01,7609,148,75.5,1250,9511250,12597682,10078,68.0945945945946
32,LAUNCESTON,MELBOURNE,1984-01-01,44088,647,74.6,476,20985888,28131217,59099,91.34312210200927
33,MELBOURNE,BURNIE,1984-01-01,9564,342,64.7,378,3615192,5587623,14782,43.22222222222222
34,MELBOURNE,GOLD COAST,1984-01-01,20182,159,84.9,1330,26842060,31616090,23771,149.50314465408806
35,MELBOURNE,MILDURA,1984-01-01,1898,126,42.3,457,867386,2050558,4487,35.611111111111114
36,MELBOURNE,NEWCASTLE,1984-01-01,577,16,37.2,836,482372,1296699,1551,96.9375
37,MELBOURNE,PERTH,1984-01-01,33753,295,82.7,2706,91335618,110442102,40814,138.35254237288135
38,MELBOURNE,SYDNEY,1984-01-01,132682,1368,66.5,706,93673492,140862394,199522,145.84941520467837
39,PERTH,SYDNEY,1984-01-01,22569,163,85.0,3284,74116596,87195995,26552,162.8957055214724
40,SUNSHINE COAST,SYDNEY,1984-01-01,4818,144,65.3,837,4032666,6175599,7378,51.236111111111114
41,SYDNEY,TOWNSVILLE,1984-01-01,4262,50,88.4,1690,7202780,8147941,4821,96.42
42,SYDNEY,WAGGA WAGGA,1984-01-01,3843,139,56.5,367,1410381,2496250,6802,48.935251798561154
43,ADELAIDE,ALICE SPRINGS,1984-02-01,9863,91,78.4,1316,12979708,16555750,12580,138.24175824175825
44,ADELAIDE,BRISBANE,1984-02-01,2302,31,64.2,1622,3733844,5815956,3586,115.6774193548387
45,ADELAIDE,CANBERRA,1984-02-01,1018,12,73.7,972,989496,1342600,1381,115.08333333333333
46,ADELAIDE,DARWIN,1984-02-01,671,8,58.2,2619,1757349,3019500,1153,144.125
47,ADELAIDE,GOLD COAST,1984-02-01,825,12,66.7,1607,1325775,1987669,1237,103.08333333333333
48,ADELAIDE,MELBOURNE,1984-02-01,50605,598,68.7,643,32539015,47363923,73661,123.17892976588628
49,ADELAIDE,PERTH,1984-02-01,14556,121,81.5,2120,30858720,37863460,17860,147.60330578512398
50,ADELAIDE,SYDNEY,1984-02-01,29680,298,76.7,1167,34636560,45158488,38696,129.8523489932886
51,ALBURY,SYDNEY,1984-02-01,9590,276,68.2,452,4334680,6355836,14062,50.94927536231884
52,ALICE SPRINGS,DARWIN,1984-02-01,6407,66,67.4,1305,8361135,12405245,9506,144.03030303030303
53,ALICE SPRINGS,SYDNEY,1984-02-01,2136,26,67.9,2022,4318992,6360813,3146,121.0
54,BRISBANE,CAIRNS,1984-02-01,106,19,54.6,1391,147446,270048,194,10.210526315789474
55,BRISBANE,CANBERRA,1984-02-01,79,2,38.7,956,75524,195152,204,102.0
56,BRISBANE,MACKAY,1984-02-01,0,1,0.0,797,0,0,0,0.0
57,BRISBANE,MELBOURNE,1984-02-01,18053,222,71.3,1381,24931193,34966610,25320,114.05405405405405
58,BRISBANE,PERTH,1984-02-01,332,4,57.6,3615,1200180,2083646,576,144.0
59,BRISBANE,PROSERPINE,1984-02-01,3864,66,59.7,895,3458280,5792764,6472,98.06060606060606
60,BRISBANE,ROCKHAMPTON,1984-02-01,17876,256,72.8,518,9259768,12719462,24555,95.91796875
61,BRISBANE,SYDNEY,1984-02-01,84001,871,70.1,753,63252753,90232173,119830,137.57749712973595
62,BRISBANE,TOWNSVILLE,1984-02-01,26167,326,77.4,1112,29097704,37593933,33807,103.70245398773007
63,BROOME,PERTH,1984-02-01,814,17,69.3,1677,1365078,1969810,1175,69.11764705882354
64,CANBERRA,MELBOURNE,1984-02-01,27564,334,66.9,470,12955080,19364843,41202,123.35928143712574
65,CANBERRA,SYDNEY,1984-02-01,39283,583,61.5,236,9270788,15074452,63875,109.56260720411663
66,COFFS HARBOUR,SYDNEY,1984-02-01,5139,143,69.1,443,2276577,3294612,7437,52.00699300699301
67,DEVONPORT,MELBOURNE,1984-02-01,5907,233,52.0,412,2433684,4680162,11360,48.75536480686695
68,DUBBO,SYDNEY,1984-02-01,4622,129,65.3,310,1432820,2194211,7078,54.86821705426357
69,GOLD COAST,SYDNEY,1984-02-01,28076,351,72.5,680,19091680,26333352,38726,110.33048433048432
70,HOBART,MELBOURNE,1984-02-01,22441,321,72.7,618,13868538,19076393,30868,96.1619937694704
71,KALGOORLIE,PERTH,1984-02-01,4559,112,65.1,538,2452742,3767653,7003,62.526785714285715
72,KARRATHA,PERTH,1984-02-01,6786,127,78.7,1250,8482500,10778272,8623,67.89763779527559
73,LAUNCESTON,MELBOURNE,1984-02-01,26872,533,72.3,476,12791072,17691663,37167,69.73170731707317
74,MELBOURNE,BURNIE,1984-02-01,5925,248,55.6,378,2239650,4028147,10656,42.96774193548387
75,MELBOURNE,GOLD COAST,1984-02-01,4281,46,78.8,1330,5693730,7225546,5433,118.1086956521739
76,MELBOURNE,MILDURA,1984-02-01,2452,131,52.6,457,1120564,2130350,4662,35.587786259541986
77,MELBOURNE,NEWCASTLE,1984-02-01,301,12,25.9,836,251636,971568,1162,96.83333333333333
78,MELBOURNE,PERTH,1984-02-01,21775,249,77.4,2706,58923150,76128101,28133,112.9839357429719
79,MELBOURNE,SYDNEY,1984-02-01,153549,1311,73.2,706,108405594,148095074,209766,160.0045766590389
80,PERTH,SYDNEY,1984-02-01,13431,114,78.1,3284,44107404,56475549,17197,150.85087719298247
81,SUNSHINE COAST,SYDNEY,1984-02-01,2780,98,54.9,837,2326860,4238361,5064,51.673469387755105
82,SYDNEY,TOWNSVILLE,1984-02-01,1306,17,72.2,1690,2207140,3056981,1809,106.41176470588235
83,SYDNEY,WAGGA WAGGA,1984-02-01,4295,149,56.0,367,1576265,2814759,7670,51.47651006711409
84,ADELAIDE,ALICE SPRINGS,1984-03-01,11142,118,71.4,1316,14662872,20536235,15605,132.24576271186442
85,ADELAIDE,BRISBANE,1984-03-01,2731,38,62.3,1622,4429682,7110244,4384,115.36842105263158
86,ADELAIDE,CANBERRA,1984-03-01,1218,13,86.3,972,1183896,1371838,1411,108.53846153846153
87,ADELAIDE,DARWIN,1984-03-01,1284,19,53.5,2619,3362796,6285600,2400,126.3157894736842
88,ADELAIDE,GOLD COAST,1984-03-01,1141,19,55.2,1607,1833587,3321716,2067,108.78947368421052
89,ADELAIDE,MELBOURNE,1984-03-01,56871,677,70.2,643,36568053,52091244,81013,119.66469719350074
90,ADELAIDE,PERTH,1984-03-01,15013,129,80.1,2120,31827560,39734782,18743,145.29457364341084
91,ADELAIDE,SYDNEY,1984-03-01,35481,368,75.2,1167,41406327,55061605,47182,128.21195652173913
92,ALBURY,SYDNEY,1984-03-01,10462,294,70.5,452,4728824,6707552,14840,50.476190476190474
93,ALICE SPRINGS,DARWIN,1984-03-01,6842,71,67.5,1305,8928810,13227867,10136,142.7605633802817
94,ALICE SPRINGS,SYDNEY,1984-03-01,2116,29,64.1,2022,4278552,6674808,3301,113.82758620689656
95,BRISBANE,CAIRNS,1984-03-01,498,32,48.9,1391,692718,1416601,1018,31.8125
96,BRISBANE,CANBERRA,1984-03-01,623,10,52.9,956,595588,1125875,1178,117.8
97,BRISBANE,MACKAY,1984-03-01,280,6,48.8,797,223160,457295,574,95.66666666666667
98,BRISBANE,MELBOURNE,1984-03-01,21798,281,69.6,1381,30103038,43251491,31319,111.45551601423487
99,BRISBANE,PERTH,1984-03-01,467,5,64.9,3615,1688205,2601240,720,144.0
100,BRISBANE,PROSERPINE,1984-03-01,5248,73,71.5,895,4696960,6569175,7340,100.54794520547945
101,BRISBANE,ROCKHAMPTON,1984-03-01,21016,278,77.9,518,10886288,13974696,26978,97.0431654676259
102,BRISBANE,SYDNEY,1984-03-01,92267,943,71.1,753,69477051,97717371,129771,137.6150583244963
103,BRISBANE,TOWNSVILLE,1984-03-01,30817,367,80.2,1112,34268504,42728808,38425,104.70027247956403
104,BROOME,PERTH,1984-03-01,311,7,67.3,1677,521547,774958,462,66.0
105,CAIRNS,SYDNEY,1984-03-01,77,1,75.5,1971,151767,201016,102,102.0
106,CANBERRA,MELBOURNE,1984-03-01,31024,390,64.0,470,14581280,22783250,48475,124.2948717948718
107,CANBERRA,SYDNEY,1984-03-01,45423,650,63.8,236,10719828,16802238,71196,109.5323076923077
108,COFFS HARBOUR,SYDNEY,1984-03-01,5022,133,73.0,443,2224746,3047597,6879,51.721804511278194
109,DEVONPORT,MELBOURNE,1984-03-01,6190,242,52.4,412,2550280,4866947,11813,48.81404958677686
110,DUBBO,SYDNEY,1984-03-01,4574,124,67.4,310,1417940,2103769,6786,54.725806451612904
111,GOLD COAST,SYDNEY,1984-03-01,29516,369,72.5,680,20070880,27683972,40712,110.33062330623306
112,HOBART,MELBOURNE,1984-03-01,23966,379,66.1,618,14810988,22406941,36257,95.66490765171504
113,KALGOORLIE,PERTH,1984-03-01,6037,232,59.0,538,3247906,5504925,10232,44.10344827586207
114,KARRATHA,PERTH,1984-03-01,8047,153,78.0,1250,10058750,12895833,10317,67.43137254901961
115,LAUNCESTON,MELBOURNE,1984-03-01,34447,581,72.7,476,16396772,22554019,47382,81.55249569707401
116,MELBOURNE,BURNIE,1984-03-01,5952,266,52.3,378,2249856,4301828,11380,42.78195488721804
117,MELBOURNE,GOLD COAST,1984-03-01,5894,68,71.7,1330,7839020,10933082,8220,120.88235294117646
118,MELBOURNE,MILDURA,1984-03-01,3309,253,45.6,457,1512213,3316257,7257,28.68379446640316
119,MELBOURNE,NEWCASTLE,1984-03-01,81,2,44.0,836,67716,153900,184,92.0
120,MELBOURNE,PERTH,1984-03-01,23104,265,77.8,2706,62519424,80359157,29697,112.06415094339623
121,MELBOURNE,SYDNEY,1984-03-01,166780,1461,72.3,706,117746680,162858479,230678,157.89048596851472
122,PERTH,SYDNEY,1984-03-01,13765,122,76.4,3284,45204260,59167880,18017,147.68032786885246
123,SUNSHINE COAST,SYDNEY,1984-03-01,3178,98,63.2,837,2659986,4208839,5028,51.30612244897959
124,SYDNEY,TOWNSVILLE,1984-03-01,1041,13,81.6,1690,1759290,2155993,1276,98.15384615384616
125,SYDNEY,WAGGA WAGGA,1984-03-01,4732,148,61.5,367,1736644,2823811,7694,51.986486486486484
126,ADELAIDE,ALICE SPRINGS,1984-04-01,12809,123,77.9,1316,16856644,21638824,16443,133.6829268292683
127,ADELAIDE,BRISBANE,1984-04-01,3198,36,72.8,1622,5187156,7125214,4393,122.02777777777777
128,ADELAIDE,CANBERRA,1984-04-01,1223,14,76.5,972,1188756,1553929,1599,114.21428571428571
129,ADELAIDE,DARWIN,1984-04-01,1186,16,57.8,2619,3106134,5373934,2052,128.25
130,ADELAIDE,GOLD COAST,1984-04-01,833,15,56.7,1607,1338631,2360901,1469,97.93333333333334
131,ADELAIDE,MELBOURNE,1984-04-01,53639,633,71.7,643,34489877,48103036,74810,118.18325434439178
132,ADELAIDE,PERTH,1984-04-01,15758,134,80.9,2120,33406960,41294141,19478,145.3582089552239
133,ADELAIDE,SYDNEY,1984-04-01,34894,358,76.4,1167,40721298,53300128,45673,127.57821229050279
134,ALBURY,SYDNEY,1984-04-01,9366,243,77.2,452,4233432,5483720,12132,49.925925925925924
135,ALICE SPRINGS,DARWIN,1984-04-01,7473,73,71.1,1305,9752265,13716266,10511,143.986301369863
136,ALICE SPRINGS,SYDNEY,1984-04-01,2272,25,77.7,2022,4593984,5912463,2924,116.96
137,BRISBANE,CAIRNS,1984-04-01,3757,61,79.0,1391,5225987,6615173,4756,77.9672131147541
138,BRISBANE,CANBERRA,1984-04-01,396,7,56.3,956,378576,672426,703,100.42857142857143
139,BRISBANE,DARWIN,1984-04-01,1449,13,77.4,2852,4132548,5339209,1872,144.0
140,BRISBANE,MACKAY,1984-04-01,1274,22,63.4,797,1015378,1601543,2009,91.31818181818181
141,BRISBANE,MELBOURNE,1984-04-01,27681,292,80.1,1381,38227461,47724670,34558,118.34931506849315
142,BRISBANE,PERTH,1984-04-01,535,5,74.3,3615,1934025,2602995,720,144.0
143,BRISBANE,PROSERPINE,1984-04-01,7099,81,80.6,895,6353605,7882885,8808,108.74074074074075
144,BRISBANE,ROCKHAMPTON,1984-04-01,20854,277,77.3,518,10802372,13974608,26978,97.39350180505416
145,BRISBANE,SYDNEY,1984-04-01,101132,943,74.8,753,76152396,101808016,135203,143.37539766702014
146,BRISBANE,TOWNSVILLE,1984-04-01,36569,366,87.3,1112,40664728,46580444,41889,114.45081967213115
147,BROOME,PERTH,1984-04-01,399,10,58.3,1677,669123,1147724,684,68.4
148,CAIRNS,SYDNEY,1984-04-01,19,1,18.6,1971,37449,201339,102,102.0
149,CANBERRA,MELBOURNE,1984-04-01,28168,358,66.3,470,13238960,19968265,42486,118.67597765363128
150,CANBERRA,SYDNEY,1984-04-01,39736,575,63.9,236,9377696,14675581,62185,108.14782608695653
151,COFFS HARBOUR,SYDNEY,1984-04-01,6204,164,72.9,443,2748372,3770058,8510,51.890243902439025
152,DARWIN,SYDNEY,1984-04-01,76,1,52.8,3155,239780,454129,144,144.0
153,DEVONPORT,MELBOURNE,1984-04-01,7688,292,57.1,412,3167456,5547208,13464,46.10958904109589
154,DUBBO,SYDNEY,1984-04-01,5122,134,71.5,310,1587820,2220727,7164,53.46268656716418
155,GOLD COAST,SYDNEY,1984-04-01,36758,426,72.4,680,24995440,34524088,50771,119.18075117370893
156,HOBART,MELBOURNE,1984-04-01,29858,401,71.8,618,18452244,25699504,41585,103.70324189526184
157,KALGOORLIE,PERTH,1984-04-01,5079,229,59.4,538,2732502,4600172,8551,37.34061135371179
158,KARRATHA,PERTH,1984-04-01,7578,139,80.7,1250,9472500,11737918,9390,67.55395683453237
159,LAUNCESTON,MELBOURNE,1984-04-01,34177,592,70.9,476,16268252,22945348,48205,81.42736486486487
160,MELBOURNE,BURNIE,1984-04-01,7334,266,65.5,378,2772252,4232446,11197,42.09398496240601
161,MELBOURNE,GOLD COAST,1984-04-01,13765,148,73.8,1330,18307450,24806843,18652,126.02702702702703
162,MELBOURNE,MILDURA,1984-04-01,2405,242,38.0,457,1099085,2892329,6329,26.15289256198347
163,MELBOURNE,PERTH,1984-04-01,23931,222,79.3,2706,64757286,81661142,30178,135.93693693693695
164,MELBOURNE,SYDNEY,1984-04-01,153105,1355,73.4,706,108092130,147264482,208590,153.9409594095941
165,PERTH,SYDNEY,1984-04-01,14839,128,78.4,3284,48731276,62157240,18927,147.8671875
166,SUNSHINE COAST,SYDNEY,1984-04-01,4423,111,68.1,837,3702051,5436198,6495,58.513513513513516
167,SYDNEY,TOWNSVILLE,1984-04-01,1680,18,95.1,1690,2839200,2985489,1767,98.16666666666667
168,SYDNEY,WAGGA WAGGA,1984-04-01,5035,143,67.7,367,1847845,2729461,7437,52.00699300699301
169,ADELAIDE,ALICE SPRINGS,1984-05-01,14490,135,77.2,1316,19068840,24700570,18769,139.02962962962962
170,ADELAIDE,BRISBANE,1984-05-01,3378,34,76.6,1622,5479116,7152893,4410,129.7058823529412
171,ADELAIDE,CANBERRA,1984-05-01,1347,13,86.5,972,1309284,1513623,1557,119.76923076923077
172,ADELAIDE,DARWIN,1984-05-01,2790,32,66.6,2619,7307010,10971486,4189,130.90625
173,ADELAIDE,GOLD COAST,1984-05-01,1258,14,70.0,1607,2021606,2888009,1797,128.35714285714286
174,ADELAIDE,MELBOURNE,1984-05-01,60701,714,71.6,643,39030743,54512211,84778,118.73669467787114
175,ADELAIDE,PERTH,1984-05-01,16186,140,79.4,2120,34314320,43217028,20385,145.60714285714286
176,ADELAIDE,SYDNEY,1984-05-01,39198,380,79.1,1167,45744066,57830678,49555,130.4078947368421
177,ALBURY,SYDNEY,1984-05-01,10110,245,76.9,452,4569720,5942419,13147,53.66122448979592
178,ALICE SPRINGS,DARWIN,1984-05-01,8919,82,76.1,1305,11639295,15294737,11720,142.9268292682927
179,ALICE SPRINGS,SYDNEY,1984-05-01,2615,29,74.2,2022,5287530,7126051,3524,121.51724137931035
180,BRISBANE,CAIRNS,1984-05-01,2187,34,66.7,1391,3042117,4560895,3279,96.44117647058823
181,BRISBANE,CANBERRA,1984-05-01,462,8,56.6,956,441672,780339,816,102.0
182,BRISBANE,DARWIN,1984-05-01,681,6,78.8,2852,1942212,2464736,864,144.0
183,BRISBANE,MACKAY,1984-05-01,541,12,46.8,797,431177,921318,1156,96.33333333333333
184,BRISBANE,MELBOURNE,1984-05-01,30108,345,73.8,1381,41579148,56340309,40797,118.25217391304348
185,BRISBANE,PERTH,1984-05-01,438,4,76.0,3615,1583370,2083382,576,144.0
186,BRISBANE,PROSERPINE,1984-05-01,6906,89,68.4,895,6180870,9036360,10096,113.43820224719101
187,BRISBANE,ROCKHAMPTON,1984-05-01,21779,288,76.2,518,11281522,14805147,28581,99.23958333333333
188,BRISBANE,SYDNEY,1984-05-01,99508,1010,70.3,753,74929524,106585383,141548,140.14653465346535
189,BRISBANE,TOWNSVILLE,1984-05-01,34236,411,80.1,1112,38070432,47528629,42742,103.99513381995133
190,BROOME,PERTH,1984-05-01,455,9,74.6,1677,763035,1022835,610,67.77777777777777
191,CAIRNS,SYDNEY,1984-05-01,231,3,75.5,1971,455301,603048,306,102.0
192,CANBERRA,MELBOURNE,1984-05-01,33300,406,65.1,470,15651000,24041475,51152,125.99014778325123
193,CANBERRA,SYDNEY,1984-05-01,47779,648,66.3,236,11275844,17007306,72065,111.21141975308642
194,COFFS HARBOUR,SYDNEY,1984-05-01,5764,145,76.4,443,2553452,3342215,7545,52.03448275862069
195,DEVONPORT,MELBOURNE,1984-05-01,6471,272,51.3,412,2666052,5196982,12614,46.375
196,DUBBO,SYDNEY,1984-05-01,5621,141,74.2,310,1742510,2348396,7575,53.723404255319146
197,GOLD COAST,SYDNEY,1984-05-01,32358,436,66.8,680,22003440,32939281,48440,111.10091743119266
198,HOBART,MELBOURNE,1984-05-01,24970,385,69.1,618,15431460,22332069,36136,93.85974025974026
199,KALGOORLIE,PERTH,1984-05-01,6084,245,59.5,538,3273192,5501163,10225,41.734693877551024
200,KARRATHA,PERTH,1984-05-01,9872,179,82.1,1250,12340000,15030451,12024,67.1731843575419
201,LAUNCESTON,MELBOURNE,1984-05-01,29011,611,67.0,476,13809236,20610800,43300,70.86743044189852
202,MELBOURNE,BURNIE,1984-05-01,6107,271,53.6,378,2308446,4306802,11394,42.04428044280443
203,MELBOURNE,GOLD COAST,1984-05-01,15224,150,73.9,1330,20247920,27399080,20601,137.34
204,MELBOURNE,MILDURA,1984-05-01,3101,312,37.9,457,1417157,3739201,8182,26.224358974358974
205,MELBOURNE,PERTH,1984-05-01,26253,259,76.9,2706,71040618,92380518,34139,131.8108108108108
206,MELBOURNE,SYDNEY,1984-05-01,170378,1494,74.2,706,120286868,162111682,229620,153.69477911646587
207,PERTH,SYDNEY,1984-05-01,17088,150,77.5,3284,56116992,72409022,22049,146.99333333333334
208,SUNSHINE COAST,SYDNEY,1984-05-01,4194,104,63.2,837,3510378,5554396,6636,63.80769230769231
209,SYDNEY,TOWNSVILLE,1984-05-01,6126,76,76.0,1690,10352940,13622289,8061,106.0657894736842
210,SYDNEY,WAGGA WAGGA,1984-05-01,5092,149,65.7,367,1868764,2844390,7750,52.013422818791945
211,ADELAIDE,ALICE SPRINGS,1984-06-01,11888,124,73.6,1316,15644608,21256261,16152,130.25806451612902
212,ADELAIDE,BRISBANE,1984-06-01,2820,38,60.8,1622,4574040,7523092,4638,122.05263157894737
213,ADELAIDE,CANBERRA,1984-06-01,798,10,77.3,972,775656,1003436,1032,103.2
214,ADELAIDE,DARWIN,1984-06-01,2952,27,84.1,2619,7731288,9192970,3510,130.0
215,ADELAIDE,GOLD COAST,1984-06-01,973,18,52.6,1607,1563611,2972644,1850,102.77777777777777
216,ADELAIDE,MELBOURNE,1984-06-01,51771,648,68.6,643,33288753,48525879,75468,116.46296296296296
217,ADELAIDE,PERTH,1984-06-01,14465,126,79.7,2120,30665800,38476537,18149,144.03968253968253
218,ADELAIDE,SYDNEY,1984-06-01,31115,317,76.4,1167,36311205,47527755,40726,128.47318611987382
219,ALBURY,SYDNEY,1984-06-01,9241,246,72.1,452,4176932,5793248,12817,52.10162601626016
220,ALICE SPRINGS,DARWIN,1984-06-01,9017,75,84.1,1305,11767185,13991897,10722,142.96
221,ALICE SPRINGS,SYDNEY,1984-06-01,2597,31,69.5,2022,5251134,7555588,3737,120.54838709677419
222,BRISBANE,CAIRNS,1984-06-01,2007,32,80.5,1391,2791737,3467996,2493,77.90625
223,BRISBANE,CANBERRA,1984-06-01,281,7,37.2,956,268636,722140,755,107.85714285714286
224,BRISBANE,DARWIN,1984-06-01,2103,15,86.6,2852,5997756,6925815,2428,161.86666666666667
225,BRISBANE,MACKAY,1984-06-01,570,9,64.0,797,454290,709828,891,99.0
226,BRISBANE,MELBOURNE,1984-06-01,23504,261,77.9,1381,32459024,41667553,30172,115.6015325670498
227,BRISBANE,PERTH,1984-06-01,393,5,54.6,3615,1420695,2602005,720,144.0
228,BRISBANE,PROSERPINE,1984-06-01,6207,84,67.5,895,5555265,8230022,9196,109.47619047619048
229,BRISBANE,ROCKHAMPTON,1984-06-01,21268,267,79.6,518,11016824,13840231,26719,100.07116104868913
230,BRISBANE,SYDNEY,1984-06-01,94242,931,73.4,753,70964226,96681507,128395,137.91084854994628
231,BRISBANE,TOWNSVILLE,1984-06-01,36061,402,86.7,1112,40099832,46251248,41593,103.46517412935323
232,BROOME,PERTH,1984-06-01,388,9,59.5,1677,650676,1093573,652,72.44444444444444
233,CAIRNS,SYDNEY,1984-06-01,119,2,61.3,1971,234549,382625,194,97.0
234,CANBERRA,MELBOURNE,1984-06-01,27452,380,58.2,470,12902440,22169141,47168,124.12631578947368
235,CANBERRA,SYDNEY,1984-06-01,39785,577,62.1,236,9389260,15119581,64066,111.03292894280763
236,COFFS HARBOUR,SYDNEY,1984-06-01,6371,144,85.1,443,2822353,3316514,7486,51.986111111111114
237,DEVONPORT,MELBOURNE,1984-06-01,4576,211,47.0,412,1885312,4011302,9736,46.14218009478673
238,DUBBO,SYDNEY,1984-06-01,5771,154,73.1,310,1789010,2447346,7895,51.26623376623377
239,GOLD COAST,SYDNEY,1984-06-01,24477,306,71.8,680,16644360,23181560,34091,111.40849673202614
240,HOBART,MELBOURNE,1984-06-01,21078,322,67.8,618,13026204,19212690,31088,96.54658385093168
241,KALGOORLIE,PERTH,1984-06-01,5604,234,58.3,538,3014952,5171444,9612,41.07692307692308
242,KARRATHA,PERTH,1984-06-01,7834,137,84.0,1250,9792500,11657738,9326,68.07299270072993
243,LAUNCESTON,MELBOURNE,1984-06-01,23846,494,67.1,476,11350696,16916089,35538,71.93927125506073
244,MELBOURNE,BURNIE,1984-06-01,5116,234,51.3,378,1933848,3769684,9973,42.61965811965812
245,MELBOURNE,GOLD COAST,1984-06-01,7850,86,81.6,1330,10440500,12794730,9620,111.86046511627907
246,MELBOURNE,MILDURA,1984-06-01,3176,296,40.7,457,1451432,3566172,7803,26.361486486486488
247,MELBOURNE,PERTH,1984-06-01,17852,194,75.7,2706,48307512,63814415,23583,121.5618556701031
248,MELBOURNE,SYDNEY,1984-06-01,151317,1353,71.6,706,106829802,149203634,211337,156.19881744271987
249,PERTH,SYDNEY,1984-06-01,10932,100,75.9,3284,35900688,47299984,14403,144.03
250,SUNSHINE COAST,SYDNEY,1984-06-01,2837,87,51.8,837,2374569,4584110,5477,62.95402298850575
251,SYDNEY,TOWNSVILLE,1984-06-01,4734,59,81.6,1690,8000460,9804485,5801,98.32203389830508
252,SYDNEY,WAGGA WAGGA,1984-06-01,5122,137,71.7,367,1879774,2621721,7144,52.14598540145985
253,ADELAIDE,ALICE SPRINGS,1984-07-01,14116,131,80.4,1316,18576656,23105294,17557,134.0229007633588
254,ADELAIDE,BRISBANE,1984-07-01,3183,40,65.2,1622,5162826,7918445,4882,122.05
255,ADELAIDE,CANBERRA,1984-07-01,1211,14,77.3,972,1177092,1522758,1567,111.92857142857143
256,ADELAIDE,DARWIN,1984-07-01,4174,38,86.5,2619,10931706,12637810,4825,126.97368421052632
257,ADELAIDE,GOLD COAST,1984-07-01,1065,16,57.8,1607,1711455,2960995,1843,115.1875
258,ADELAIDE,MELBOURNE,1984-07-01,52341,671,69.3,643,33655263,48564593,75528,112.56035767511177
259,ADELAIDE,PERTH,1984-07-01,14368,133,74.5,2120,30460160,40886121,19286,145.00751879699249
